antecedent,consequent,support,confidence,lift,count
sleep_duration_bin=short_sleep,stress_bin=high_stress,0.0989,1.0,5.3429,37
occupation=Nurse,sleep_disorder=Sleep Apnea,0.1631,0.8356,4.0067,61
sleep_disorder=Sleep Apnea,occupation=Nurse,0.1631,0.7821,4.0067,61
occupation=Doctor,age_bin=young_adult,0.1738,0.9155,3.6425,65
age_bin=young_adult,occupation=Doctor,0.1738,0.6915,3.6425,65
occupation=Salesperson,sleep_duration_bin=medium_sleep,0.0856,1.0,3.1695,32
sleep_disorder=Insomnia,sleep_duration_bin=medium_sleep,0.1791,0.8701,2.7579,67
sleep_duration_bin=medium_sleep,sleep_disorder=Insomnia,0.1791,0.5678,2.7579,67
occupation=Engineer,steps_bin=low_steps,0.107,0.6349,2.7294,40
occupation=Teacher,sleep_duration_bin=medium_sleep,0.0909,0.85,2.6941,34
occupation=Salesperson,bmi_category=Overweight,0.0856,1.0,2.527,32
age_bin=older_adult,stress_bin=low_stress,0.1765,0.8684,2.3035,66
occupation=Lawyer,stress_bin=medium_stress,0.1257,1.0,2.2945,47
occupation=Salesperson,stress_bin=medium_stress,0.0856,1.0,2.2945,32
occupation=Nurse,bmi_category=Overweight,0.1765,0.9041,2.2847,66
sleep_disorder=Sleep Apnea,bmi_category=Overweight,0.1738,0.8333,2.1059,65
sleep_disorder=Insomnia,bmi_category=Overweight,0.1711,0.8312,2.1004,64
occupation=Teacher,bmi_category=Overweight,0.0882,0.825,2.0848,33
sleep_duration_bin=medium_sleep,bmi_category=Overweight,0.2567,0.8136,2.0559,96
bmi_category=Overweight,sleep_duration_bin=medium_sleep,0.2567,0.6486,2.0559,96
occupation=Teacher,stress_bin=low_stress,0.0829,0.775,2.0557,31
age_bin=older_adult,gender=Female,0.2032,1.0,2.0216,76
occupation=Nurse,gender=Female,0.1952,1.0,2.0216,73
sleep_duration_bin=medium_sleep,quality_bin=medium_quality,0.3155,1.0,1.9788,118
occupation=Salesperson,gender=Male,0.0856,1.0,1.9788,32
occupation=Salesperson,quality_bin=medium_quality,0.0856,1.0,1.9788,32
occupation=Engineer,quality_bin=high_quality,0.1604,0.9524,1.9788,60
quality_bin=medium_quality,sleep_duration_bin=medium_sleep,0.3155,0.6243,1.9788,118
occupation=Accountant,gender=Female,0.0963,0.973,1.967,36
occupation=Doctor,gender=Male,0.1845,0.9718,1.9231,69
occupation=Lawyer,gender=Male,0.1203,0.9574,1.8946,45
occupation=Doctor,quality_bin=medium_quality,0.1791,0.9437,1.8674,67
occupation=Lawyer,quality_bin=high_quality,0.1123,0.8936,1.8567,42
stress_bin=high_stress,quality_bin=medium_quality,0.1738,0.9286,1.8375,65
stress_bin=low_stress,gender=Female,0.3422,0.9078,1.8352,128
gender=Female,stress_bin=low_stress,0.3422,0.6919,1.8352,128
occupation=Salesperson,age_bin=middle_age,0.0856,1.0,1.8333,32
occupation=Engineer,stress_bin=low_stress,0.115,0.6825,1.8104,43
